meanunitssoldperproduct,meandiscount,rating,meanproductprices,urgencytextrate,meanproductratingscount,meanretailprices,merchantid,averagediscount,totalunitssold,listedproducts,merchantratingscount,totalurgencycount
1000.0,70.0,4.101,13.0,100.0,65.0,43.0,5b6bb6d7790f1a0d8a416c03,70.0,1000,1,6256.0,1
6667.0,-12.67,4.29,9.0,33.0,902.0,8.0,583e7f658108913bced6f8cf,-13.0,20000,3,9200.0,1
1000.0,-16.0,4.332,7.0,100.0,207.0,6.0,5b8deaae2eb51f6d30ff9a3d,-16.0,1000,1,4425.0,1
5000.0,-14.0,4.002,8.0,100.0,581.0,7.0,5825d0a72cf1425389672c35,-14.0,5000,1,12574.0,1
5000.0,-11.0,3.96,19.0,100.0,1163.0,17.0,54f804901c36ca266909d090,-11.0,5000,1,15173.0,1
700.0,-6.0,4.15,9.67,67.0,249.0,9.0,58259c456ebae74739ecfdc8,-6.0,2100,3,2248.0,2
10.0,53.0,3.625,8.0,100.0,0.0,17.0,5df1cd2ecce7510b506fdba5,53.0,10,1,8.0,1
1000.0,74.0,4.209,8.0,100.0,270.0,30.0,5950d54a4b913a1174a7ae6d,74.0,1000,1,2212.0,1
100.0,32.0,3.667,11.0,50.0,12.0,16.0,5e9a629b29e786250230ba90,32.0,200,2,18.0,1
50.0,59.0,3.733,2.89,33.0,1.0,7.0,5e535f1b397cba44cf1118d8,59.0,150,3,30.0,1
6700.0,57.67,3.874,7.67,33.0,1018.0,18.0,59b7d6e1eea5c510889ea754,58.0,20100,3,9177.0,1
100.0,-14.0,4.39,8.0,50.0,28.0,7.0,583beacf24b24f1b805ff7a2,-14.0,200,2,889.0,1
550.0,45.5,3.992,1.77,50.0,62.0,5.5,5e548120207f9d0685eec2ea,46.0,1100,2,484.0,1
325.0,-7.0,4.024,7.0,25.0,22.0,6.25,593fcbd5ff3e807d6a8485ff,-7.0,1300,4,12919.0,1
3000.0,37.5,3.947,7.4,50.0,489.0,25.0,566eaa533a698c6442549a74,38.0,12000,4,5083.0,2
325.0,-14.25,3.953,7.37,25.0,178.0,6.5,5aab3c8ea6bf7a704caec65c,-14.0,1300,4,17471.0,1
1000.0,0.0,4.288,5.0,50.0,435.0,5.0,5abf36d540626a753e8fc18a,0.0,2000,2,3883.0,1
550.0,40.0,4.094,7.0,50.0,69.0,28.5,556425de56aea60ea1d17778,40.0,1100,2,11401.0,1
1000.0,23.0,4.153,7.0,100.0,219.0,9.0,5853765779b45e0b58ad30f4,23.0,1000,1,30643.0,1
100.0,-12.0,4.023,9.0,100.0,10.0,8.0,5aed66b2f0b75f35a1bd6615,-12.0,100,1,4402.0,1
7500.0,24.5,4.238,10.0,50.0,1412.0,14.5,569f632ed5f0840dda331a97,25.0,15000,2,22765.0,1
5000.0,24.0,3.911,13.0,100.0,792.0,17.0,5b96067f42ebca48f6c041e8,24.0,5000,1,4571.0,1
100.0,-18.0,3.774,13.0,50.0,2.0,11.0,5d56b32c40defd78043d5af9,-18.0,200,2,31.0,1
10.0,0.0,3.667,2.0,50.0,5.0,2.0,5e54d1d9e0d90e6488de48c2,0.0,20,2,42.0,1
100.0,-10.0,3.732,11.0,67.0,45.0,10.0,5d3da852e4b65d3e801e9b5d,-10.0,300,3,168.0,2
100.0,-10.0,4.283,11.0,100.0,8.0,10.0,5e0b55766a4343d3823c7215,-10.0,100,1,120.0,1
100.0,64.0,4.144,9.0,50.0,38.0,31.5,5aea8f2ccac3c5238de1a99c,64.0,400,4,1160.0,2
